,country,tree_cover,tree_cover_%_2000,tree_cover_loss_2014,cover_gain,forest_type_nat,forest_type_pri,forest_type_pla,loss_outside_plant,loss_outside_plant_%,certified_forest,total_economy,percentage_economy,employment,reforestation_rate_10,carbon,GHG_emissions,conventions
14,CHE,2MHa,39,833,"10,326",83%,3%,14%,,,"766,532 ha ",USD 5.2 billion,0.8% of the GDP.,"48 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,152 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
15,SYR,106KHa,1,626,"1,573",40%,,60%,,,0 ha ,USD 252.7 million,0.4% of the GDP.,"30 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
16,TWN,2MHa,65,881,"6,125",,,,,,0 ha ,,1.3% of this country‰Ûªs GHG emissions,,,,,[]
17,TJK,60KHa,0,0,142,3%,72%,25%,,,0 ha ,USD 5.2 million,0.09% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.5 kha/year,3 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
18,TZA,26MHa,30,"161,898","304,101",99%,,1%,,,"131,975 ha ",USD 612.9 million,2.7% of the GDP.,"7 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",27 kha/year,"5,438 million metric tons of carbon stocks",59.1% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
19,THA,20MHa,39,"102,205","499,182",35%,41%,24%,,,"25,698 ha ",USD 3.2 billion,0.9% of the GDP.,"235 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0 kha/year,863 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
0,TLS,726KHa,49,"1,417","6,124",94%,,6%,,,0 ha ,USD 4.3 million,0.07% of the GDP.,,"
                    In 2010, the rate of reforestation was 0.104 kha/year
                  ",,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,TGO,559KHa,10,"1,992","2,360",76%,,24%,,,0 ha ,USD 52.6 million,1.6% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",1 kha/year,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
2,TKL,,,,,,,,,,,,,,,,,
3,TON,,,,,,,,,,,,,,,,,
4,TTO,392KHa,76,"1,348","1,600",69%,27%,4%,,,0 ha ,USD 86.9 million,0.4% of the GDP.,"4 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,19 million metric tons of carbon stocks,0.81% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
5,TUN,224KHa,1,"1,806","11,495",30%,,70%,,,0 ha ,USD 336.6 million,0.8% of the GDP.,"23 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",1.4 kha/year,9 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
6,TUR,10MHa,13,"17,808","178,374",63%,8%,29%,,,"2,346,799 ha ",USD 5.6 billion,0.8% of the GDP.,"152 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",45.24 kha/year,808 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
7,TKM,10KHa,0,0,278,97%,3%,,,,0 ha ,USD 1.1 million,0.00% of the GDP.,"9 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,12 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
8,TCA,,,,,,,,,,,,,,,,,
9,TUV,,,,,,,,,,,,,,,,,
10,UGA,8MHa,38,"38,738","68,454",97%,,3%,,,"40,072 ha ",USD 589.9 million,3.4% of the GDP.,"12 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,76 million metric tons of carbon stocks,37.6% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
11,UKR,11.1MHa,,,,49%,1%,50%,,,"1,439,047 ha ",USD 1.5 billion,1.0% of the GDP.,"142 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",39.2 kha/year,783 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
12,ARE,0Ha,0,0,0,,,100%,,,0 ha ,USD 479.8 million,0.1% of the GDP.,"7 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,16 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
13,GBR,3.6MHa,,,,23%,,77%,,,"2,949,464 ha ",USD 9.5 billion,0.4% of the GDP.,"134 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",14 kha/year,237 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
14,USA,279MHa,30,"1,479,837","13,807,357",67%,24%,9%,,,"49,000,770 ha ",USD 95.0 billion,0.6% of the GDP.,"827 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",2900 kha/year,"17,330 million metric tons of carbon stocks",,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
15,UMI,,,,,,,,,,,,,,,,,
16,URY,2MHa,10,"23,180","498,518",25%,17%,58%,,,"925,084 ha ",USD 730.1 million,1.8% of the GDP.,"17 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
17,UZB,106KHa,0,82,520,73%,2%,25%,,,0 ha ,USD 13.8 million,0.03% of the GDP.,"7 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",12 kha/year,42 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
18,VUT,1MHa,98,578,"1,370",,,,,,0 ha ,USD 10.7 million,1.6% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
19,VEN,57MHa,63,"80,245","191,091",1%,98%,1%,,,0 ha ,USD 1.4 billion,0.5% of the GDP.,"56 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",4.215 kha/year,,28.4% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
0,VNM,17MHa,51,"163,922","564,188",75%,1%,24%,,,"136,706 ha ",USD 2.4 billion,1.7% of the GDP.,"251 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",37 kha/year,"1,025 million metric tons of carbon stocks",,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,VIR,,,,,,,,,,,,,,,,,
2,WLF,,,,,,,,,,,,,,,,,
3,ESH,,,,,,,,,,,,,,,,,
4,YEM,126Ha,0,0,4,100%,,,,,0 ha ,USD 141.0 million,0.5% of the GDP.,"19 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,5 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
5,ZMB,24MHa,33,"93,579","18,097",100%,,,,,0 ha ,USD 1.2 billion,6.2% of the GDP.,"5 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",1.5 kha/year,"2,375 million metric tons of carbon stocks",61.3% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
6,ZWE,1MHa,4,"8,188","48,566",94%,6%,,,,0 ha ,USD 266.5 million,3.4% of the GDP.,"9 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",6 kha/year,442 million metric tons of carbon stocks,59.9% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
